[7l----system---- ------memory-usage-----
16-09 15:12:20|8296M 3069M  237M  408M
16-09 15:12:30|8314M 3069M  237M  391M
16-09 15:12:40|8328M 3069M  237M  377M
16-09 15:12:50|8341M 3069M  237M  364M
16-09 15:13:00|8355M 3069M  237M  350M
16-09 15:13:10|8374M 3069M  237M  331M
16-09 15:13:20|8390M 3026M  237M  357M
16-09 15:13:30|8420M 2989M  237M  364M
16-09 15:13:40|8452M 2948M  237M  373M
16-09 15:13:50|8486M 2948M  237M  340M
16-09 15:14:00|8514M 2904M  237M  354M
16-09 15:14:10|8550M 2860M  237M  364M
16-09 15:14:20|8583M 2860M  237M  331M
16-09 15:14:30|8612M 2814M  237M  348M
16-09 15:14:40|8641M 2777M  237M  356M
16-09 15:14:50|8574M 2777M  237M  423M
16-09 15:15:00|8574M 2777M  237M  423M
16-09 15:15:10|9107M 1946M  238M  719M
16-09 15:15:20|9109M 1946M  237M  718M
16-09 15:15:30|9110M 1946M  237M  717M
16-09 15:15:40|9110M 1946M  237M  717M
16-09 15:15:50|9110M 1946M  237M  717M
16-09 15:16:00|9110M 1946M  237M  717M
16-09 15:16:10|9111M 1946M  237M  716M
16-09 15:16:20|9111M 1946M  237M  716M
16-09 15:16:30|9111M 1946M  237M  716M
16-09 15:16:40|9111M 1946M  237M  716M
16-09 15:16:50|9112M 1946M  237M  715M
16-09 15:17:00|9112M 1946M  237M  715M
16-09 15:17:10|9112M 1946M  237M  715M
16-09 15:17:20|9112M 1946M  237M  715M
16-09 15:17:30|9113M 1946M  237M  714M
16-09 15:17:40|9112M 1946M  237M  714M
16-09 15:17:50|9112M 1946M  237M  714M
16-09 15:18:00|9112M 1946M  237M  715M
16-09 15:18:10|9112M 1947M  237M  715M
16-09 15:18:20|9112M 1947M  237M  715M
16-09 15:18:30|9111M 1947M  237M  715M
16-09 15:18:40|9111M 1947M  237M  715M
16-09 15:18:50|9112M 1947M  237M  715M
16-09 15:19:00|9112M 1947M  237M  715M
16-09 15:19:10|9111M 1947M  237M  716M
16-09 15:19:20|9112M 1947M  237M  715M
16-09 15:19:30|9112M 1947M  237M  715M
16-09 15:19:40|9112M 1947M  237M  715M
16-09 15:19:50|9112M 1947M  237M  715M
16-09 15:20:00|9112M 1947M  237M  714M
16-09 15:20:10|9112M 1947M  237M  715M
16-09 15:20:20|9112M 1947M  237M  714M
16-09 15:20:30|9111M 1947M  237M  715M
16-09 15:20:40|9111M 1947M  237M  715M
16-09 15:20:50|9112M 1947M  237M  714M
16-09 15:21:00|9112M 1947M  238M  714M
16-09 15:21:10|9111M 1947M  238M  715M
16-09 15:21:20|9112M 1947M  238M  714M
16-09 15:21:30|9112M 1947M  238M  714M
16-09 15:21:40|9112M 1947M  238M  714M
16-09 15:21:50|9112M 1947M  238M  713M
16-09 15:22:00|9112M 1947M  238M  713M
16-09 15:22:10|9111M 1947M  238M  714M
16-09 15:22:20|9111M 1947M  238M  714M
16-09 15:22:30|9111M 1947M  238M  714M
16-09 15:22:40|9111M 1947M  238M  714M
16-09 15:22:50|9111M 1947M  238M  714M
16-09 15:23:00|9112M 1947M  238M  713M
16-09 15:23:10|9111M 1947M  238M  713M
16-09 15:23:20|9111M 1947M  239M  713M
16-09 15:23:30|9112M 1947M  239M  712M
16-09 15:23:40|9111M 1947M  239M  713M
16-09 15:23:50|9111M 1947M  239M  713M
16-09 15:24:00|9112M 1947M  239M  712M
16-09 15:24:10|9112M 1947M  239M  712M
16-09 15:24:20|9112M 1947M  239M  712M
16-09 15:24:30|9112M 1947M  239M  712M
16-09 15:24:40|9113M 1947M  239M  711M
16-09 15:24:50|9113M 1947M  239M  711M
16-09 15:25:00|9112M 1947M  239M  711M
16-09 15:25:10|9112M 1947M  239M  711M
16-09 15:25:20|9112M 1947M  239M  711M
16-09 15:25:30|9113M 1947M  239M  711M
16-09 15:25:40|9113M 1947M  239M  711M
16-09 15:25:50|9112M 1947M  239M  711M
16-09 15:26:00|9112M 1947M  240M  711M
16-09 15:26:10|9112M 1947M  240M  711M
16-09 15:26:20|9112M 1948M  240M  711M
16-09 15:26:30|9112M 1948M  240M  711M
16-09 15:26:40|9112M 1948M  240M  711M
16-09 15:26:50|9113M 1948M  240M  710M
16-09 15:27:00|9112M 1948M  240M  710M
16-09 15:27:10|9112M 1948M  240M  710M
16-09 15:27:20|9112M 1948M  240M  710M
16-09 15:27:30|9112M 1948M  240M  710M
16-09 15:27:40|9112M 1948M  240M  710M
16-09 15:27:50|9112M 1948M  240M  710M
16-09 15:28:00|9112M 1948M  241M  710M
16-09 15:28:10|9113M 1948M  241M  709M
16-09 15:28:20|9113M 1948M  241M  709M
16-09 15:28:30|9113M 1948M  241M  709M
16-09 15:28:40|9113M 1948M  241M  708M
16-09 15:28:50|9113M 1948M  241M  709M
16-09 15:29:00|9113M 1948M  241M  708M
16-09 15:29:10|9113M 1948M  241M  709M
16-09 15:29:20|9113M 1948M  241M  708M
16-09 15:29:30|9113M 1948M  241M  708M
16-09 15:29:40|9114M 1948M  241M  707M
16-09 15:29:50|9114M 1948M  241M  707M
16-09 15:30:00|9114M 1948M  241M  707M
16-09 15:30:10|9114M 1948M  241M  707M
16-09 15:30:20|9114M 1948M  241M  707M
16-09 15:30:30|9114M 1948M  241M  707M
16-09 15:30:40|9114M 1948M  241M  707M
16-09 15:30:50|9114M 1948M  242M  707M
16-09 15:31:00|9114M 1948M  242M  707M
16-09 15:31:10|9114M 1948M  242M  707M
16-09 15:31:20|9114M 1948M  242M  706M
16-09 15:31:30|9114M 1948M  242M  706M
16-09 15:31:40|9114M 1948M  242M  705M
16-09 15:31:50|9114M 1948M  242M  705M
16-09 15:32:00|9115M 1948M  242M  705M
16-09 15:32:10|9115M 1948M  242M  704M
16-09 15:32:20|9115M 1948M  242M  704M
16-09 15:32:30|9115M 1948M  242M  704M
16-09 15:32:40|9115M 1948M  242M  704M
16-09 15:32:50|9116M 1948M  242M  704M
16-09 15:33:00|9115M 1948M  243M  704M
16-09 15:33:10|9116M 1948M  243M  703M
16-09 15:33:20|9116M 1948M  243M  704M
16-09 15:33:30|9115M 1948M  243M  704M
16-09 15:33:40|9115M 1949M  243M  704M
16-09 15:33:50|9115M 1949M  243M  703M
16-09 15:34:00|9115M 1949M  243M  703M
16-09 15:34:10|9116M 1949M  243M  703M
16-09 15:34:20|9116M 1949M  243M  703M
16-09 15:34:30|9116M 1949M  243M  703M
16-09 15:34:40|9116M 1949M  243M  702M
16-09 15:34:50|9116M 1949M  243M  703M
16-09 15:35:00|9115M 1949M  243M  703M
16-09 15:35:10|9115M 1949M  243M  703M
16-09 15:35:20|9116M 1949M  243M  702M
16-09 15:35:30|9115M 1949M  244M  703M
16-09 15:35:40|9116M 1949M  244M  702M
16-09 15:35:50|9116M 1949M  244M  702M
16-09 15:36:00|9116M 1949M  244M  701M
16-09 15:36:10|9116M 1949M  244M  702M
16-09 15:36:20|9116M 1949M  244M  702M
16-09 15:36:30|9116M 1949M  244M  702M
16-09 15:36:40|9116M 1949M  244M  701M
16-09 15:36:50|9117M 1949M  244M  701M
16-09 15:37:00|9116M 1949M  244M  701M
16-09 15:37:10|9116M 1949M  244M  701M
16-09 15:37:20|9116M 1949M  244M  701M
16-09 15:37:30|9116M 1949M  244M  701M
16-09 15:37:40|9116M 1949M  244M  701M
16-09 15:37:50|9116M 1949M  244M  701M
16-09 15:38:00|9116M 1949M  244M  701M
16-09 15:38:10|9116M 1949M  245M  701M
16-09 15:38:20|9117M 1949M  245M  700M
16-09 15:38:30|9116M 1949M  245M  700M
16-09 15:38:40|9116M 1949M  245M  700M
16-09 15:38:50|9117M 1949M  245M  699M
16-09 15:39:00|9116M 1949M  245M  700M
16-09 15:39:10|9116M 1949M  245M  700M
16-09 15:39:20|9116M 1949M  245M  699M
16-09 15:39:30|9117M 1949M  245M  699M
16-09 15:39:40|9116M 1949M  245M  699M
16-09 15:39:50|9117M 1949M  245M  699M
16-09 15:40:00|9116M 1949M  246M  699M
16-09 15:40:10|9118M 1949M  246M  697M
16-09 15:40:20|9118M 1949M  246M  697M
16-09 15:40:30|9118M 1949M  246M  697M
16-09 15:40:40|9118M 1950M  246M  697M
16-09 15:40:50|9118M 1950M  246M  696M
16-09 15:41:00|9118M 1950M  246M  696M
16-09 15:41:10|9118M 1950M  246M  696M
16-09 15:41:20|9119M 1950M  246M  696M
16-09 15:41:30|9118M 1950M  246M  696M
16-09 15:41:40|9118M 1950M  246M  696M
16-09 15:41:50|9119M 1950M  246M  696M
16-09 15:42:00|9118M 1950M  246M  696M
16-09 15:42:10|9118M 1950M  246M  696M
16-09 15:42:20|9118M 1950M  246M  696M
16-09 15:42:30|9119M 1950M  246M  695M
16-09 15:42:40|9119M 1950M  246M  695M
16-09 15:42:50|9119M 1950M  247M  695M
16-09 15:43:00|9119M 1950M  247M  695M
16-09 15:43:10|9118M 1950M  247M  695M
16-09 15:43:20|9119M 1950M  247M  695M
16-09 15:43:30|9119M 1950M  247M  695M
16-09 15:43:40|9119M 1950M  247M  695M
16-09 15:43:50|9119M 1950M  247M  694M
16-09 15:44:00|9118M 1950M  247M  695M
