[7l----system---- ------memory-usage-----
     time     | used  buff  cach  free
13-09 17:03:05| 476M 4896k 81.1M 11.2G
13-09 17:03:15|1991M 5164k  217M 9797M
13-09 17:03:25|2050M 5172k  217M 9738M
13-09 17:03:35|3152M 5180k  217M 8636M
13-09 17:03:45|3174M 5196k  217M 8614M
13-09 17:03:55|3180M 5204k  217M 8608M
13-09 17:04:05|3204M 5220k  217M 8584M
13-09 17:04:15|3211M 5240k  217M 8577M
13-09 17:04:25|3249M 5248k  217M 8538M
13-09 17:04:35|3257M 5264k  217M 8531M
13-09 17:04:45|3264M 5272k  217M 8524M
13-09 17:04:55|3271M 5280k  217M 8517M
13-09 17:05:05|3341M 5296k  217M 8446M
13-09 17:05:15|3348M 5308k  217M 8440M
13-09 17:05:25|3356M 5316k  217M 8432M
13-09 17:05:35|3362M 5324k  217M 8425M
13-09 17:05:45|3370M 5332k  217M 8418M
13-09 17:05:55|3377M 5340k  217M 8411M
13-09 17:06:05|3384M 5356k  217M 8404M
13-09 17:06:15|3391M 5364k  217M 8396M
13-09 17:06:25|3399M 5372k  217M 8389M
13-09 17:06:35|3532M 5380k  217M 8256M
13-09 17:06:45|3539M 5388k  217M 8249M
13-09 17:06:55|3546M 5396k  217M 8242M
13-09 17:07:05|3317M 5412k  217M 8470M
13-09 17:07:15|3676M 5420k  217M 8112M
13-09 17:07:25|3696M 5428k  217M 8092M
13-09 17:07:35|3718M 5436k  217M 8069M
13-09 17:07:45|3725M 5444k  217M 8062M
13-09 17:07:55|3765M 5460k  217M 8023M
13-09 17:08:05|3771M 5476k  217M 8016M
13-09 17:08:15|3779M 5484k  217M 8009M
13-09 17:08:25|3786M 5492k  217M 8002M
13-09 17:08:35|3793M 5500k  217M 7994M
13-09 17:08:45|3864M 5544k  219M 7923M
13-09 17:08:55|3871M 5552k  219M 7915M
13-09 17:09:05|3879M 5844k  232M 7893M
13-09 17:09:15|3886M 5860k  232M 7886M
13-09 17:09:25|3893M 5868k  232M 7879M
13-09 17:09:35|3900M 5876k  232M 7872M
13-09 17:09:45|3907M 5884k  232M 7865M
13-09 17:09:55|3915M 5892k  232M 7858M
13-09 17:10:05|3921M 5908k  232M 7851M
13-09 17:10:15|4055M 5928k  232M 7717M
13-09 17:10:25|4062M 5936k  232M 7710M
13-09 17:10:35|4069M 5944k  232M 7703M
13-09 17:10:45|4072M 5952k  232M 7700M
13-09 17:10:55|4072M 5960k  232M 7700M
13-09 17:11:05|4072M 5976k  232M 7700M
13-09 17:11:15|4308M 5992k  232M 7464M
13-09 17:11:25|4553M 6000k  232M 7219M
13-09 17:11:35|4553M 6016k  232M 7219M
13-09 17:11:45|4636M 6024k  232M 7136M
13-09 17:11:55|5290M 6032k  232M 6482M
13-09 17:12:05|5314M 6048k  232M 6458M
13-09 17:12:15|5337M 6056k  232M 6435M
13-09 17:12:25|5360M 6064k  232M 6411M
13-09 17:12:35|5382M 6072k  232M 6390M
13-09 17:12:45|5401M 6088k  232M 6371M
13-09 17:12:55|5429M 6096k  232M 6343M
13-09 17:13:05|5457M 6112k  232M 6315M
13-09 17:13:15|5479M 6128k  232M 6293M
13-09 17:13:25|5494M 6136k  232M 6278M
13-09 17:13:35|5506M 6144k  232M 6266M
13-09 17:13:45|5524M 6160k  232M 6247M
13-09 17:13:55|5553M 6168k  232M 6219M
13-09 17:14:05|5586M 6184k  232M 6186M
13-09 17:14:15|5619M 6192k  232M 6152M
13-09 17:14:25|5649M 6200k  232M 6123M
13-09 17:14:35|5530M 6208k  232M 6241M
13-09 17:14:45|5593M 6216k  232M 6179M
13-09 17:14:55|5607M 6224k  232M 6165M
13-09 17:15:05|5622M 6240k  232M 6150M
13-09 17:15:15|5631M 6256k  232M 6141M
13-09 17:15:25|5637M 6264k  232M 6135M
13-09 17:15:35|5643M 6272k  232M 6129M
13-09 17:15:45|5654M 6280k  232M 6117M
13-09 17:15:55|5674M 6288k  232M 6098M
13-09 17:16:05|5701M 6304k  232M 6071M
13-09 17:16:15|5737M 6312k  232M 6034M
13-09 17:16:25|5781M 6320k  232M 5991M
13-09 17:16:35|5829M 6328k  232M 5942M
13-09 17:16:45|5880M 6336k  232M 5892M
13-09 17:16:55|5930M 6428k  235M 5839M
13-09 17:17:05|5993M 8576k  235M 5774M
13-09 17:17:15|5962M 8628k  238M 5801M
13-09 17:17:25|5977M 8636k  238M 5787M
13-09 17:17:35|5977M 8652k  239M 5786M
13-09 17:17:45|5977M 8660k  239M 5786M
13-09 17:17:55|5977M 8668k  239M 5786M
13-09 17:18:05|5977M 8684k  239M 5786M
13-09 17:18:15|5978M 8692k  239M 5786M
13-09 17:18:25|5978M 8700k  239M 5786M
13-09 17:18:35|6081M 8708k  239M 5682M
13-09 17:18:45|6104M 8724k  239M 5659M
13-09 17:18:55|6126M 8740k  239M 5637M
13-09 17:19:05|6149M 8756k  239M 5614M
13-09 17:19:15|6171M 8764k  239M 5592M
13-09 17:19:25|6189M 8772k  239M 5574M
13-09 17:19:35|6214M 8780k  239M 5549M
13-09 17:19:45|6241M 8788k  239M 5522M
13-09 17:19:55|6263M 8796k  239M 5500M
13-09 17:20:05|6278M 8812k  239M 5485M
13-09 17:20:15|6290M 8820k  239M 5473M
13-09 17:20:25|6305M 8828k  239M 5458M
13-09 17:20:35|6330M 8836k  239M 5433M
13-09 17:20:45|6362M 8844k  239M 5401M
13-09 17:20:55|6395M 8852k  239M 5368M
13-09 17:21:05|6425M 8868k  239M 5338M
13-09 17:21:15|6362M 8876k  239M 5401M
13-09 17:21:25|6362M 8884k  239M 5401M
13-09 17:21:35|6367M 8892k  239M 5396M
13-09 17:21:45|6385M 8900k  239M 5378M
13-09 17:21:55|6396M 8908k  239M 5367M
13-09 17:22:05|6402M 8924k  239M 5361M
13-09 17:22:15|6407M 8932k  239M 5356M
13-09 17:22:25|6413M 8940k  239M 5349M
13-09 17:22:35|6425M 8948k  239M 5338M
13-09 17:22:45|6444M 8956k  239M 5319M
13-09 17:22:55|6471M 8972k  239M 5292M
13-09 17:23:05|6505M 8988k  239M 5258M
13-09 17:23:15|6545M 8996k  239M 5218M
13-09 17:23:25|6590M 9012k  239M 5172M
13-09 17:23:35|6637M 9020k  239M 5126M
13-09 17:23:45|6682M 9036k  239M 5081M
13-09 17:23:55|6722M 9044k  239M 5041M
13-09 17:24:05|6757M 9060k  239M 5006M
13-09 17:24:15|6682M 9068k  239M 5081M
13-09 17:24:25|7146M 9112k  239M 4616M
13-09 17:24:35|7164M 9140k  239M 4598M
13-09 17:24:45|7181M 9148k  239M 4582M
13-09 17:24:55|7207M 9156k  239M 4556M
13-09 17:25:05|7214M 9172k  239M 4548M
13-09 17:25:15|7245M 9180k  239M 4517M
13-09 17:25:25|7244M 9188k  239M 4519M
13-09 17:25:35|7250M 9196k  239M 4512M
13-09 17:25:45|7258M 9204k  239M 4504M
13-09 17:25:55|7267M 9212k  239M 4495M
13-09 17:26:05|7273M 9228k  239M 4489M
13-09 17:26:15|7281M 9236k  239M 4482M
13-09 17:26:25|7284M 9244k  239M 4478M
13-09 17:26:35|7294M 9252k  239M 4468M
13-09 17:26:45|7303M 9260k  239M 4459M
13-09 17:26:55|7313M 9268k  239M 4449M
13-09 17:27:05|7323M 9284k  239M 4439M
13-09 17:27:15|7332M 9300k  239M 4430M
13-09 17:27:25|7344M 9308k  239M 4418M
13-09 17:27:35|7353M 9316k  239M 4409M
13-09 17:27:45|7369M 9324k  239M 4393M
13-09 17:27:55|7379M 9332k  239M 4383M
13-09 17:28:05|7392M 9348k  239M 4370M
13-09 17:28:15|7407M 9356k  239M 4355M
13-09 17:28:25|7420M 9364k  239M 4342M
13-09 17:28:35|7434M 9372k  239M 4328M
13-09 17:28:45|7449M 9388k  239M 4313M
13-09 17:28:55|7464M 9396k  239M 4298M
13-09 17:29:05|7479M 9412k  239M 4284M
13-09 17:29:15|7493M 9420k  239M 4269M
13-09 17:29:25|7508M 9428k  239M 4254M
13-09 17:29:35|7526M 9436k  239M 4236M
13-09 17:29:45|7541M 9444k  239M 4221M
13-09 17:29:55|7555M 9452k  239M 4207M
13-09 17:30:05|7581M 9468k  239M 4181M
13-09 17:30:15|7596M 9476k  239M 4166M
13-09 17:30:25|7610M 9484k  239M 4152M
13-09 17:30:35|7630M 9492k  239M 4132M
13-09 17:30:45|7645M 9500k  239M 4117M
13-09 17:30:55|7659M 9508k  239M 4103M
13-09 17:31:05|7673M 9532k  239M 4089M
13-09 17:31:15|7687M 9540k  239M 4075M
13-09 17:31:25|7702M 9548k  239M 4060M
13-09 17:31:35|7717M 9556k  239M 4045M
13-09 17:31:45|7731M 9564k  239M 4031M
13-09 17:31:55|7745M 9572k  239M 4017M
13-09 17:32:05|7759M 9588k  239M 4002M
13-09 17:32:15|7769M 9596k  239M 3993M
13-09 17:32:25|7780M 9604k  239M 3982M
13-09 17:32:35|7790M 9620k  239M 3972M
13-09 17:32:45|7800M 9640k  239M 3961M
13-09 17:32:55|7811M 9656k  239M 3951M
13-09 17:33:05|7821M 9688k  239M 3940M
13-09 17:33:15|7831M 9744k  239M 3930M
13-09 17:33:25|7841M 9760k  239M 3920M
13-09 17:33:35|7851M 9784k  240M 3910M
13-09 17:33:45|7861M 9808k  240M 3900M
13-09 17:33:55|7871M 9816k  240M 3890M
13-09 17:34:05|7885M 9840k  240M 3876M
13-09 17:34:15|7897M 9856k  240M 3864M
13-09 17:34:25|7907M 9864k  240M 3854M
13-09 17:34:35|7917M 9880k  240M 3844M
13-09 17:34:45|7926M 9912k  240M 3835M
13-09 17:34:55|7936M 9928k  240M 3824M
13-09 17:35:05|7947M 9960k  240M 3814M
13-09 17:35:15|7957M 9992k  240M 3804M
13-09 17:35:25|7975M 9.77M  240M 3786M
13-09 17:35:35|8000M 9.79M  240M 3760M
13-09 17:35:45|8010M 9.80M  240M 3750M
13-09 17:35:55|8022M 9.81M  240M 3739M
13-09 17:36:05|8036M 9.86M  240M 3724M
13-09 17:36:15|8051M 9.88M  240M 3710M
13-09 17:36:25|8065M 9.89M  240M 3695M
13-09 17:36:35|8080M 9.92M  240M 3680M
13-09 17:36:45|8106M 9.94M  240M 3654M
13-09 17:36:55|8121M 9.95M  240M 3639M
13-09 17:37:05|8135M 9.99M  240M 3625M
