[7l----system---- ------memory-usage-----
     time     | used  buff  cach  free
16-09 22:30:48|7180M 3171M 1284M 4372M
16-09 22:30:58|7180M 3171M 1284M 4372M
16-09 22:31:08|7180M 3171M 1284M 4372M
16-09 22:31:18|7180M 3171M 1284M 4372M
16-09 22:31:28|7180M 3171M 1284M 4372M
16-09 22:31:38|7180M 3171M 1284M 4372M
16-09 22:31:48|7180M 3171M 1284M 4372M
16-09 22:31:58|7180M 3171M 1284M 4372M
16-09 22:32:08|7180M 3172M 1284M 4372M
16-09 22:32:18|7180M 3172M 1284M 4372M
16-09 22:32:28|7180M 3172M 1284M 4372M
16-09 22:32:38|7180M 3172M 1284M 4372M
16-09 22:32:48|7180M 3172M 1284M 4372M
16-09 22:32:58|7180M 3172M 1284M 4372M
16-09 22:33:08|7180M 3172M 1284M 4372M
16-09 22:33:18|7180M 3172M 1284M 4372M
16-09 22:33:28|7180M 3172M 1284M 4372M
16-09 22:33:38|7180M 3172M 1284M 4372M
16-09 22:33:48|7180M 3172M 1284M 4372M
16-09 22:33:58|7180M 3172M 1284M 4372M
16-09 22:34:08|7180M 3172M 1284M 4372M
16-09 22:34:18|7180M 3172M 1284M 4372M
16-09 22:34:28|7180M 3172M 1284M 4372M
16-09 22:34:38|7180M 3172M 1284M 4372M
16-09 22:34:48|7180M 3172M 1284M 4372M
16-09 22:34:58|7180M 3172M 1284M 4372M
16-09 22:35:08|7180M 3172M 1284M 4372M
16-09 22:35:18|7180M 3172M 1284M 4372M
16-09 22:35:28|7180M 3172M 1284M 4372M
16-09 22:35:38|7180M 3172M 1284M 4372M
16-09 22:35:48|7180M 3172M 1284M 4372M
16-09 22:35:58|7180M 3172M 1284M 4372M
16-09 22:36:08|7180M 3172M 1284M 4372M
16-09 22:36:18|7180M 3172M 1284M 4372M
16-09 22:36:28|7180M 3172M 1284M 4372M
16-09 22:36:38|7180M 3172M 1284M 4372M
16-09 22:36:48|7180M 3172M 1284M 4372M
16-09 22:36:58|7180M 3172M 1284M 4372M
16-09 22:37:08|7180M 3172M 1284M 4372M
16-09 22:37:18|7180M 3172M 1284M 4372M
16-09 22:37:28|7180M 3172M 1284M 4372M
16-09 22:37:38|7180M 3172M 1284M 4372M
16-09 22:37:48|8641M 3172M 1284M 2911M
16-09 22:37:58|9.87G 3172M 1284M 1449M
16-09 22:38:08|7180M 3172M 1284M 4372M
16-09 22:38:18|6709M 3172M 1288M 4838M
16-09 22:38:28|6709M 3172M 1288M 4838M
16-09 22:38:38|6709M 3172M 1288M 4838M
16-09 22:38:48|6709M 3172M 1288M 4838M
16-09 22:38:58|6709M 3172M 1288M 4838M
16-09 22:39:08|6709M 3172M 1288M 4838M
16-09 22:39:18|6709M 3172M 1288M 4838M
16-09 22:39:28|6709M 3172M 1288M 4838M
16-09 22:39:38|6709M 3172M 1288M 4838M
16-09 22:39:48|6709M 3172M 1288M 4838M
16-09 22:39:58|6709M 3172M 1288M 4838M
16-09 22:40:08|6710M 3172M 1288M 4837M
16-09 22:40:18|6710M 3172M 1288M 4837M
16-09 22:40:28|6710M 3172M 1288M 4837M
16-09 22:40:38|6710M 3172M 1288M 4837M
16-09 22:40:48|6710M 3172M 1288M 4837M
16-09 22:40:58|6710M 3172M 1288M 4837M
16-09 22:41:08|6710M 3172M 1288M 4837M
16-09 22:41:18|6710M 3172M 1288M 4837M
16-09 22:41:28|6710M 3172M 1288M 4837M
16-09 22:41:38|6710M 3172M 1288M 4837M
16-09 22:41:48|6710M 3172M 1288M 4837M
16-09 22:41:58|6710M 3172M 1288M 4837M
16-09 22:42:08|6710M 3172M 1288M 4837M
16-09 22:42:18|6710M 3172M 1288M 4837M
16-09 22:42:28|6710M 3172M 1288M 4837M
16-09 22:42:38|6710M 3172M 1288M 4837M
16-09 22:42:48|6710M 3172M 1288M 4837M
16-09 22:42:58|6710M 3172M 1288M 4837M
16-09 22:43:08|6710M 3172M 1288M 4837M
16-09 22:43:18|6710M 3172M 1288M 4837M
16-09 22:43:28|6710M 3172M 1288M 4837M
16-09 22:43:38|6710M 3172M 1288M 4837M
16-09 22:43:48|6710M 3172M 1288M 4837M
16-09 22:43:58|6710M 3172M 1288M 4837M
16-09 22:44:08|6710M 3172M 1288M 4837M
16-09 22:44:18|6710M 3172M 1288M 4837M
16-09 22:44:28|6732M 3172M 1288M 4815M
16-09 22:44:38|6750M 3172M 1288M 4797M
16-09 22:44:48|6776M 3172M 1288M 4770M
16-09 22:44:58|6822M 3172M 1288M 4725M
16-09 22:45:08|6869M 3172M 1288M 4677M
16-09 22:45:18|6902M 3172M 1288M 4645M
16-09 22:45:28|6902M 3172M 1288M 4645M
16-09 22:45:38|6902M 3172M 1288M 4645M
16-09 22:45:48|6902M 3172M 1288M 4645M
16-09 22:45:58|6902M 3172M 1288M 4645M
16-09 22:46:08|6901M 3172M 1288M 4646M
16-09 22:46:18|6911M 3172M 1288M 4636M
16-09 22:46:28|6962M 3172M 1288M 4585M
16-09 22:46:38|7029M 3172M 1288M 4518M
16-09 22:46:48|7102M 3172M 1288M 4445M
16-09 22:46:58|7168M 3172M 1288M 4378M
16-09 22:47:08|7219M 3172M 1288M 4328M
16-09 22:47:18|7219M 3172M 1288M 4328M
16-09 22:47:28|7219M 3172M 1288M 4328M
16-09 22:47:38|7219M 3172M 1288M 4328M
16-09 22:47:48|7219M 3172M 1288M 4328M
16-09 22:47:58|7219M 3172M 1288M 4328M
16-09 22:48:08|7219M 3172M 1288M 4328M
16-09 22:48:18|7219M 3172M 1288M 4328M
16-09 22:48:28|7219M 3172M 1288M 4328M
16-09 22:48:38|7219M 3172M 1288M 4328M
16-09 22:48:48|7219M 3172M 1288M 4328M
16-09 22:48:58|7219M 3172M 1288M 4328M
16-09 22:49:08|7219M 3172M 1288M 4328M
16-09 22:49:18|7219M 3172M 1288M 4328M
16-09 22:49:28|7219M 3172M 1288M 4328M
16-09 22:49:38|7219M 3172M 1288M 4328M
16-09 22:49:48|7219M 3172M 1288M 4328M
16-09 22:49:58|7219M 3172M 1288M 4328M
16-09 22:50:08|7219M 3172M 1288M 4327M
16-09 22:50:18|7219M 3173M 1288M 4328M
16-09 22:50:28|7219M 3173M 1288M 4328M
16-09 22:50:38|7219M 3173M 1288M 4328M
16-09 22:50:48|7219M 3173M 1288M 4328M
16-09 22:50:58|7219M 3173M 1288M 4328M
16-09 22:51:08|7219M 3173M 1288M 4328M
16-09 22:51:18|7219M 3173M 1288M 4328M
16-09 22:51:28|7219M 3173M 1288M 4328M
16-09 22:51:38|7219M 3173M 1288M 4327M
16-09 22:51:48|7219M 3173M 1288M 4327M
16-09 22:51:58|7219M 3173M 1288M 4327M
16-09 22:52:08|7219M 3173M 1288M 4327M
16-09 22:52:18|7219M 3173M 1288M 4327M
16-09 22:52:28|7219M 3173M 1288M 4327M
16-09 22:52:38|7219M 3173M 1288M 4327M
16-09 22:52:48|7219M 3173M 1288M 4327M
16-09 22:52:58|7219M 3173M 1288M 4327M
16-09 22:53:08|7219M 3173M 1288M 4327M
16-09 22:53:18|7219M 3173M 1288M 4327M
16-09 22:53:28|7219M 3173M 1288M 4327M
16-09 22:53:38|7219M 3173M 1288M 4327M
16-09 22:53:48|7219M 3173M 1288M 4327M
16-09 22:53:58|7219M 3173M 1288M 4327M
16-09 22:54:08|7219M 3173M 1288M 4327M
16-09 22:54:18|7219M 3173M 1288M 4327M
16-09 22:54:28|7219M 3173M 1288M 4327M
16-09 22:54:38|7219M 3173M 1288M 4327M
16-09 22:54:48|7219M 3173M 1288M 4327M
16-09 22:54:58|7219M 3173M 1288M 4327M
16-09 22:55:08|7219M 3173M 1288M 4327M
16-09 22:55:18|7219M 3173M 1288M 4327M
16-09 22:55:28|7219M 3173M 1288M 4327M
16-09 22:55:38|7219M 3173M 1288M 4327M
16-09 22:55:48|7219M 3173M 1288M 4327M
16-09 22:55:58|7219M 3173M 1288M 4327M
16-09 22:56:08|7219M 3173M 1288M 4327M
16-09 22:56:18|7219M 3173M 1288M 4327M
16-09 22:56:28|7219M 3173M 1288M 4327M
16-09 22:56:38|7219M 3173M 1288M 4327M
16-09 22:56:48|7219M 3173M 1288M 4327M
16-09 22:56:58|7220M 3173M 1288M 4326M
16-09 22:57:08|7220M 3173M 1288M 4326M
16-09 22:57:18|7220M 3173M 1288M 4326M
16-09 22:57:28|7220M 3173M 1288M 4326M
16-09 22:57:38|7220M 3173M 1288M 4326M
16-09 22:57:48|7220M 3173M 1288M 4326M
16-09 22:57:58|7220M 3173M 1288M 4326M
16-09 22:58:08|7220M 3173M 1288M 4326M
16-09 22:58:18|7220M 3173M 1288M 4326M
16-09 22:58:28|7220M 3173M 1288M 4326M
16-09 22:58:38|7220M 3173M 1288M 4326M
16-09 22:58:48|7221M 3173M 1288M 4325M
16-09 22:58:58|7221M 3173M 1288M 4325M
16-09 22:59:08|7221M 3173M 1288M 4325M
16-09 22:59:18|7221M 3173M 1288M 4325M
16-09 22:59:28|7221M 3173M 1288M 4325M
16-09 22:59:38|7221M 3173M 1288M 4325M
16-09 22:59:48|7221M 3173M 1288M 4325M
16-09 22:59:58|7221M 3173M 1288M 4325M
16-09 23:00:08|7221M 3173M 1288M 4325M
16-09 23:00:18|7221M 3173M 1288M 4324M
16-09 23:00:28|7221M 3173M 1288M 4325M
16-09 23:00:38|7221M 3173M 1288M 4324M
16-09 23:00:48|7221M 3173M 1288M 4325M
16-09 23:00:58|7221M 3173M 1288M 4324M
16-09 23:01:08|7221M 3173M 1288M 4324M
16-09 23:01:18|7222M 3173M 1288M 4324M
16-09 23:01:28|7222M 3173M 1288M 4324M
16-09 23:01:38|7221M 3173M 1288M 4324M
16-09 23:01:48|7222M 3173M 1288M 4324M
16-09 23:01:58|7222M 3173M 1288M 4324M
16-09 23:02:08|7222M 3173M 1288M 4324M
16-09 23:02:18|7222M 3173M 1288M 4324M
16-09 23:02:28|7222M 3173M 1288M 4324M
16-09 23:02:38|7222M 3173M 1288M 4324M
16-09 23:02:48|7222M 3173M 1288M 4324M
16-09 23:02:58|7222M 3173M 1288M 4324M
16-09 23:03:08|7222M 3173M 1288M 4324M
16-09 23:03:18|7222M 3173M 1288M 4324M
16-09 23:03:28|7222M 3173M 1288M 4324M
16-09 23:03:38|7222M 3173M 1288M 4324M
16-09 23:03:48|7222M 3173M 1288M 4324M
16-09 23:03:58|7222M 3173M 1288M 4324M
16-09 23:04:08|7222M 3173M 1288M 4323M
16-09 23:04:18|7222M 3173M 1288M 4324M
16-09 23:04:28|7222M 3173M 1288M 4323M
16-09 23:04:38|7222M 3173M 1288M 4324M
16-09 23:04:48|7222M 3173M 1288M 4324M
16-09 23:04:58|7222M 3173M 1288M 4323M
16-09 23:05:08|7222M 3173M 1288M 4323M
16-09 23:05:18|7223M 3173M 1288M 4323M
16-09 23:05:28|7223M 3173M 1288M 4323M
16-09 23:05:38|7223M 3173M 1288M 4323M
16-09 23:05:48|7223M 3173M 1288M 4323M
16-09 23:05:58|7223M 3173M 1288M 4323M
16-09 23:06:08|7223M 3173M 1288M 4323M
16-09 23:06:18|7223M 3173M 1288M 4323M
16-09 23:06:28|7223M 3173M 1288M 4322M
16-09 23:06:38|7223M 3173M 1288M 4323M
16-09 23:06:48|7224M 3173M 1288M 4321M
16-09 23:06:58|7224M 3173M 1288M 4321M
16-09 23:07:08|7224M 3173M 1288M 4321M
16-09 23:07:18|7224M 3173M 1288M 4321M
16-09 23:07:28|7224M 3173M 1288M 4321M
16-09 23:07:38|7224M 3173M 1288M 4321M
16-09 23:07:48|7225M 3173M 1288M 4321M
16-09 23:07:58|7224M 3173M 1288M 4321M
16-09 23:08:08|7224M 3173M 1288M 4321M
16-09 23:08:18|7225M 3173M 1288M 4321M
16-09 23:08:28|7224M 3173M 1288M 4321M
16-09 23:08:38|7224M 3173M 1288M 4321M
16-09 23:08:48|7224M 3173M 1288M 4321M
16-09 23:08:58|7225M 3174M 1288M 4321M
16-09 23:09:08|7225M 3174M 1288M 4321M
16-09 23:09:18|7225M 3174M 1288M 4321M
16-09 23:09:28|7225M 3174M 1288M 4321M
16-09 23:09:38|7225M 3174M 1288M 4321M
16-09 23:09:48|7225M 3174M 1288M 4321M
16-09 23:09:58|7225M 3174M 1288M 4320M
16-09 23:10:08|7225M 3174M 1288M 4321M
16-09 23:10:18|7225M 3174M 1288M 4321M
16-09 23:10:28|7225M 3174M 1288M 4320M
16-09 23:10:38|7225M 3174M 1288M 4320M
16-09 23:10:48|7225M 3174M 1288M 4320M
16-09 23:10:58|7225M 3174M 1288M 4320M
16-09 23:11:08|7225M 3174M 1288M 4320M
16-09 23:11:18|7225M 3174M 1288M 4320M
16-09 23:11:28|7225M 3174M 1288M 4320M
16-09 23:11:38|7225M 3174M 1288M 4320M
16-09 23:11:48|7225M 3174M 1288M 4320M
16-09 23:11:58|7225M 3174M 1288M 4320M
16-09 23:12:08|7225M 3174M 1288M 4320M
16-09 23:12:18|7225M 3174M 1288M 4320M
16-09 23:12:28|7225M 3174M 1288M 4320M
16-09 23:12:38|7225M 3174M 1288M 4320M
16-09 23:12:48|7225M 3174M 1288M 4320M
16-09 23:12:58|7225M 3174M 1288M 4320M
16-09 23:13:08|7225M 3174M 1288M 4320M
16-09 23:13:18|7226M 3174M 1288M 4320M
16-09 23:13:28|7225M 3174M 1288M 4320M
16-09 23:13:38|7225M 3174M 1288M 4320M
16-09 23:13:48|7225M 3174M 1288M 4320M
16-09 23:13:58|7226M 3174M 1288M 4320M
16-09 23:14:08|7226M 3174M 1288M 4319M
16-09 23:14:18|7226M 3174M 1288M 4319M
16-09 23:14:28|7226M 3174M 1288M 4319M
16-09 23:14:38|7226M 3174M 1288M 4319M
16-09 23:14:48|7226M 3174M 1288M 4319M
16-09 23:14:58|7226M 3174M 1288M 4319M
16-09 23:15:08|7226M 3174M 1288M 4319M
16-09 23:15:18|7226M 3174M 1288M 4319M
16-09 23:15:28|7226M 3174M 1288M 4319M
16-09 23:15:38|7226M 3174M 1288M 4319M
16-09 23:15:48|7226M 3174M 1288M 4319M
16-09 23:15:58|7226M 3174M 1288M 4319M
16-09 23:16:08|7226M 3174M 1288M 4319M
16-09 23:16:18|7226M 3174M 1288M 4319M
16-09 23:16:28|7226M 3174M 1288M 4319M
16-09 23:16:38|7226M 3174M 1288M 4319M
16-09 23:16:48|7226M 3174M 1288M 4319M
16-09 23:16:58|7227M 3174M 1288M 4318M
16-09 23:17:08|7227M 3174M 1288M 4318M
16-09 23:17:18|7227M 3174M 1288M 4318M
16-09 23:17:28|7227M 3174M 1288M 4318M
16-09 23:17:38|7227M 3174M 1288M 4318M
16-09 23:17:48|7227M 3174M 1288M 4318M
16-09 23:17:58|7227M 3174M 1288M 4318M
16-09 23:18:08|7228M 3174M 1288M 4317M
16-09 23:18:18|7227M 3174M 1288M 4318M
16-09 23:18:28|7227M 3174M 1288M 4318M
16-09 23:18:38|7227M 3174M 1288M 4318M
16-09 23:18:48|7227M 3174M 1288M 4318M
16-09 23:18:58|7227M 3174M 1288M 4318M
16-09 23:19:08|7227M 3174M 1288M 4317M
16-09 23:19:18|7227M 3174M 1288M 4318M
16-09 23:19:28|7227M 3174M 1288M 4317M
16-09 23:19:38|7227M 3174M 1288M 4317M
16-09 23:19:48|7230M 3174M 1288M 4315M
16-09 23:19:58|7230M 3174M 1288M 4315M
16-09 23:20:08|7230M 3174M 1288M 4315M
16-09 23:20:18|7230M 3174M 1288M 4314M
16-09 23:20:28|7230M 3174M 1288M 4314M
16-09 23:20:38|7230M 3174M 1288M 4315M
16-09 23:20:48|7230M 3174M 1288M 4315M
16-09 23:20:58|7230M 3174M 1288M 4315M
16-09 23:21:08|7230M 3174M 1288M 4315M
16-09 23:21:18|7230M 3174M 1288M 4315M
16-09 23:21:28|7230M 3174M 1288M 4314M
16-09 23:21:38|7230M 3174M 1288M 4314M
16-09 23:21:48|7230M 3174M 1288M 4314M
16-09 23:21:58|7230M 3174M 1288M 4315M
16-09 23:22:08|7230M 3174M 1288M 4314M
16-09 23:22:18|7230M 3174M 1288M 4314M
16-09 23:22:28|7230M 3174M 1288M 4314M
16-09 23:22:38|7230M 3174M 1288M 4314M
16-09 23:22:48|7231M 3174M 1288M 4314M
16-09 23:22:58|7231M 3174M 1288M 4314M
16-09 23:23:08|7230M 3174M 1288M 4314M
16-09 23:23:18|7230M 3174M 1288M 4314M
16-09 23:23:28|7231M 3174M 1288M 4314M
16-09 23:23:38|7230M 3174M 1288M 4314M
16-09 23:23:48|7231M 3174M 1288M 4314M
16-09 23:23:58|7230M 3174M 1288M 4314M
16-09 23:24:08|7230M 3174M 1288M 4314M
16-09 23:24:18|7231M 3174M 1288M 4314M
16-09 23:24:28|7231M 3174M 1288M 4314M
16-09 23:24:38|7231M 3174M 1288M 4314M
16-09 23:24:48|7231M 3174M 1288M 4314M
16-09 23:24:58|7231M 3174M 1288M 4314M
16-09 23:25:08|7231M 3174M 1288M 4314M
16-09 23:25:18|7231M 3174M 1288M 4314M
16-09 23:25:28|7231M 3174M 1288M 4314M
16-09 23:25:38|7231M 3174M 1288M 4314M
16-09 23:25:48|7231M 3174M 1288M 4314M
16-09 23:25:58|7231M 3174M 1288M 4314M
16-09 23:26:08|7231M 3174M 1288M 4313M
16-09 23:26:18|7231M 3174M 1288M 4313M
16-09 23:26:28|7231M 3174M 1288M 4313M
16-09 23:26:38|7231M 3174M 1288M 4313M
16-09 23:26:48|7231M 3174M 1288M 4313M
16-09 23:26:58|7231M 3174M 1288M 4313M
16-09 23:27:08|7232M 3174M 1288M 4313M
16-09 23:27:18|7232M 3174M 1288M 4313M
16-09 23:27:28|7232M 3175M 1288M 4313M
16-09 23:27:38|7232M 3175M 1288M 4313M
16-09 23:27:48|7232M 3175M 1288M 4313M
16-09 23:27:58|7232M 3175M 1288M 4313M
16-09 23:28:08|7232M 3175M 1288M 4313M
16-09 23:28:18|7232M 3175M 1288M 4313M
16-09 23:28:28|7232M 3175M 1288M 4313M
16-09 23:28:38|7232M 3175M 1288M 4313M
16-09 23:28:48|7232M 3175M 1288M 4313M
16-09 23:28:58|7232M 3175M 1288M 4312M
16-09 23:29:08|7232M 3175M 1288M 4312M
16-09 23:29:18|7232M 3175M 1288M 4313M
16-09 23:29:28|7232M 3175M 1288M 4312M
16-09 23:29:38|7232M 3175M 1288M 4312M
16-09 23:29:48|7232M 3175M 1288M 4312M
16-09 23:29:58|7232M 3175M 1288M 4312M
16-09 23:30:08|7232M 3175M 1288M 4313M
16-09 23:30:18|7232M 3175M 1288M 4312M
16-09 23:30:28|7232M 3175M 1288M 4312M
16-09 23:30:38|7232M 3175M 1288M 4312M
16-09 23:30:48|7232M 3175M 1288M 4312M
16-09 23:30:58|7232M 3175M 1288M 4312M
16-09 23:31:08|7232M 3175M 1288M 4312M
16-09 23:31:18|7232M 3175M 1288M 4312M
16-09 23:31:28|7232M 3175M 1288M 4312M
16-09 23:31:38|7232M 3175M 1288M 4312M
16-09 23:31:48|7232M 3175M 1288M 4312M
16-09 23:31:58|7232M 3175M 1288M 4312M
16-09 23:32:08|7232M 3175M 1288M 4312M
16-09 23:32:18|7232M 3175M 1288M 4312M
16-09 23:32:28|7233M 3175M 1288M 4312M
16-09 23:32:38|7233M 3175M 1288M 4311M
16-09 23:32:48|7233M 3175M 1288M 4311M
16-09 23:32:58|7233M 3175M 1288M 4311M
16-09 23:33:08|7233M 3175M 1288M 4311M
16-09 23:33:18|7233M 3175M 1288M 4311M
16-09 23:33:28|7233M 3175M 1288M 4311M
16-09 23:33:38|7233M 3175M 1288M 4311M
16-09 23:33:48|7233M 3175M 1288M 4311M
16-09 23:33:58|7233M 3175M 1288M 4311M
16-09 23:34:08|7233M 3175M 1288M 4311M
16-09 23:34:18|7233M 3175M 1288M 4311M
16-09 23:34:28|7233M 3175M 1288M 4311M
16-09 23:34:38|7233M 3175M 1288M 4311M
16-09 23:34:48|7233M 3175M 1288M 4311M
16-09 23:34:58|7233M 3175M 1288M 4311M
16-09 23:35:08|7233M 3175M 1288M 4311M
16-09 23:35:18|7233M 3175M 1288M 4311M
16-09 23:35:28|7233M 3175M 1288M 4311M
16-09 23:35:38|7233M 3175M 1288M 4311M
16-09 23:35:48|7233M 3175M 1288M 4311M
16-09 23:35:58|7233M 3175M 1288M 4311M
16-09 23:36:08|7233M 3175M 1288M 4311M
16-09 23:36:18|7233M 3175M 1288M 4311M
16-09 23:36:28|7233M 3175M 1288M 4311M
16-09 23:36:38|7233M 3175M 1288M 4311M
16-09 23:36:48|7233M 3175M 1288M 4311M
16-09 23:36:58|7233M 3175M 1288M 4311M
16-09 23:37:08|7233M 3175M 1288M 4311M
16-09 23:37:18|7233M 3175M 1288M 4310M
16-09 23:37:28|7233M 3175M 1288M 4310M
16-09 23:37:38|7233M 3175M 1288M 4310M
16-09 23:37:48|7233M 3175M 1288M 4310M
16-09 23:37:58|7233M 3175M 1288M 4311M
16-09 23:38:08|7233M 3175M 1288M 4311M
16-09 23:38:18|7233M 3175M 1288M 4311M
16-09 23:38:28|7233M 3175M 1288M 4311M
16-09 23:38:38|7233M 3175M 1288M 4310M
16-09 23:38:48|7233M 3175M 1288M 4310M
16-09 23:38:58|7233M 3175M 1288M 4310M
16-09 23:39:08|7234M 3175M 1288M 4310M
16-09 23:39:18|7234M 3175M 1288M 4310M
16-09 23:39:28|7233M 3175M 1288M 4310M
16-09 23:39:38|7233M 3175M 1288M 4310M
16-09 23:39:48|7235M 3175M 1288M 4309M
16-09 23:39:58|7235M 3175M 1288M 4309M
16-09 23:40:08|7236M 3175M 1288M 4308M
16-09 23:40:18|7236M 3175M 1288M 4308M
16-09 23:40:28|7237M 3175M 1288M 4307M
16-09 23:40:38|7238M 3175M 1288M 4306M
16-09 23:40:48|7238M 3175M 1288M 4306M
16-09 23:40:58|7238M 3175M 1288M 4306M
16-09 23:41:08|7238M 3175M 1288M 4305M
16-09 23:41:18|7238M 3175M 1288M 4305M
16-09 23:41:28|7238M 3175M 1288M 4305M
16-09 23:41:38|7238M 3175M 1288M 4305M
16-09 23:41:48|7238M 3175M 1288M 4305M
16-09 23:41:58|7238M 3175M 1288M 4305M
16-09 23:42:08|7238M 3175M 1288M 4305M
16-09 23:42:18|7238M 3175M 1288M 4305M
16-09 23:42:28|7239M 3175M 1288M 4305M
16-09 23:42:38|7239M 3175M 1288M 4305M
16-09 23:42:48|7239M 3175M 1288M 4305M
16-09 23:42:58|7239M 3175M 1288M 4305M
16-09 23:43:08|7239M 3175M 1288M 4305M
16-09 23:43:18|7239M 3175M 1288M 4305M
16-09 23:43:28|7239M 3175M 1288M 4305M
16-09 23:43:38|7239M 3175M 1288M 4305M
16-09 23:43:48|7239M 3175M 1288M 4305M
16-09 23:43:58|7239M 3175M 1288M 4304M
16-09 23:44:08|7239M 3175M 1288M 4304M
16-09 23:44:18|7239M 3175M 1288M 4304M
16-09 23:44:28|7239M 3175M 1288M 4304M
16-09 23:44:38|7239M 3175M 1288M 4304M
16-09 23:44:48|7239M 3175M 1288M 4304M
16-09 23:44:58|7240M 3175M 1288M 4304M
16-09 23:45:08|7239M 3175M 1288M 4304M
16-09 23:45:18|7239M 3176M 1288M 4304M
16-09 23:45:28|7239M 3176M 1288M 4304M
16-09 23:45:38|7239M 3176M 1288M 4304M
16-09 23:45:48|7243M 3176M 1288M 4300M
16-09 23:45:58|7245M 3176M 1288M 4299M
16-09 23:46:08|7245M 3176M 1288M 4299M
16-09 23:46:18|7245M 3176M 1288M 4299M
16-09 23:46:28|7245M 3176M 1288M 4299M
16-09 23:46:38|7245M 3176M 1288M 4299M
16-09 23:46:48|7245M 3176M 1288M 4299M
16-09 23:46:58|7245M 3176M 1288M 4299M
16-09 23:47:08|7244M 3176M 1288M 4299M
16-09 23:47:18|7244M 3176M 1288M 4299M
16-09 23:47:28|7245M 3176M 1288M 4299M
16-09 23:47:38|7245M 3176M 1288M 4299M
16-09 23:47:48|7245M 3176M 1288M 4298M
16-09 23:47:58|7245M 3176M 1288M 4299M
16-09 23:48:08|7245M 3176M 1288M 4299M
16-09 23:48:18|7245M 3176M 1288M 4299M
16-09 23:48:28|7245M 3176M 1288M 4298M
16-09 23:48:38|7245M 3176M 1288M 4298M
16-09 23:48:48|7245M 3176M 1288M 4298M
16-09 23:48:58|7245M 3176M 1288M 4298M
16-09 23:49:08|7245M 3176M 1288M 4298M
16-09 23:49:18|7245M 3176M 1288M 4298M
16-09 23:49:28|7245M 3176M 1288M 4298M
16-09 23:49:38|7245M 3176M 1288M 4298M
16-09 23:49:48|7245M 3176M 1288M 4298M
16-09 23:49:58|7245M 3176M 1288M 4298M
16-09 23:50:08|7245M 3176M 1288M 4298M
16-09 23:50:18|7245M 3176M 1288M 4298M
16-09 23:50:28|7245M 3176M 1288M 4298M
16-09 23:50:38|7245M 3176M 1288M 4298M
16-09 23:50:48|7245M 3176M 1288M 4298M
16-09 23:50:58|7245M 3176M 1288M 4298M
16-09 23:51:08|7245M 3176M 1288M 4298M
16-09 23:51:18|7245M 3176M 1288M 4298M
16-09 23:51:28|7245M 3176M 1288M 4298M
16-09 23:51:38|7245M 3176M 1288M 4298M
16-09 23:51:48|7245M 3176M 1288M 4298M
16-09 23:51:58|7245M 3176M 1288M 4298M
16-09 23:52:08|7246M 3176M 1288M 4297M
16-09 23:52:18|7246M 3176M 1288M 4297M
16-09 23:52:28|7246M 3176M 1288M 4297M
16-09 23:52:38|7243M 3176M 1288M 4299M
16-09 23:52:48|7244M 3176M 1288M 4299M
16-09 23:52:58|7244M 3176M 1288M 4299M
16-09 23:53:08|7244M 3176M 1288M 4299M
16-09 23:53:18|7243M 3176M 1288M 4300M
16-09 23:53:28|7243M 3176M 1288M 4300M
16-09 23:53:38|7244M 3176M 1288M 4299M
16-09 23:53:48|7243M 3176M 1288M 4299M
16-09 23:53:58|7244M 3176M 1288M 4299M
16-09 23:54:08|7244M 3176M 1288M 4299M
16-09 23:54:18|7244M 3176M 1288M 4299M
16-09 23:54:28|7244M 3176M 1288M 4299M
16-09 23:54:38|7244M 3176M 1288M 4299M
16-09 23:54:48|7244M 3176M 1288M 4299M
16-09 23:54:58|7244M 3176M 1288M 4299M
16-09 23:55:08|7244M 3176M 1288M 4299M
16-09 23:55:18|7244M 3176M 1288M 4299M
16-09 23:55:28|7244M 3176M 1288M 4299M
16-09 23:55:38|7244M 3176M 1288M 4299M
16-09 23:55:48|7244M 3176M 1288M 4299M
16-09 23:55:58|7244M 3176M 1288M 4299M
16-09 23:56:08|7244M 3176M 1288M 4299M
16-09 23:56:18|7244M 3176M 1288M 4299M
16-09 23:56:28|7244M 3176M 1288M 4299M
16-09 23:56:38|7244M 3176M 1288M 4299M
16-09 23:56:48|7244M 3176M 1288M 4299M
16-09 23:56:58|7244M 3176M 1288M 4299M
16-09 23:57:08|7244M 3176M 1288M 4299M
16-09 23:57:18|7244M 3176M 1288M 4299M
16-09 23:57:28|7244M 3176M 1288M 4299M
16-09 23:57:38|7244M 3176M 1288M 4299M
16-09 23:57:48|7244M 3176M 1288M 4299M
16-09 23:57:58|7244M 3176M 1288M 4299M
16-09 23:58:08|7244M 3176M 1288M 4299M
16-09 23:58:18|7244M 3176M 1288M 4299M
16-09 23:58:28|7244M 3176M 1288M 4299M
16-09 23:58:38|7244M 3176M 1288M 4299M
16-09 23:58:48|7244M 3176M 1288M 4299M
16-09 23:58:58|7244M 3176M 1288M 4299M
16-09 23:59:08|7244M 3176M 1288M 4299M
16-09 23:59:18|7244M 3176M 1288M 4299M
16-09 23:59:28|9264M 3176M 1288M 2279M
16-09 23:59:38|9.93G 3176M 1288M 1375M
16-09 23:59:48|7245M 3176M 1288M 4298M
16-09 23:59:58|6745M 3176M 1296M 4790M
17-09 00:00:08|6745M 3176M 1296M 4790M
