[7l----system---- ------memory-usage-----
     time     | used  buff  cach  free
16-09 17:47:58|1994M 3155M 1172M 9686M
16-09 17:48:08|1994M 3155M 1172M 9686M
16-09 17:48:18|2000M 3155M 1172M 9679M
16-09 17:48:28|2030M 3155M 1172M 9650M
16-09 17:48:38|2039M 3155M 1172M 9640M
16-09 17:48:48|2039M 3155M 1172M 9641M
16-09 17:48:58|2039M 3155M 1172M 9640M
16-09 17:49:08|2039M 3155M 1172M 9641M
16-09 17:49:18|2039M 3155M 1172M 9640M
16-09 17:49:28|2039M 3155M 1172M 9640M
16-09 17:49:38|2039M 3155M 1172M 9640M
16-09 17:49:48|2039M 3155M 1172M 9640M
16-09 17:49:58|2039M 3155M 1172M 9640M
16-09 17:50:08|2039M 3155M 1172M 9640M
16-09 17:50:18|2039M 3155M 1172M 9640M
16-09 17:50:28|2040M 3155M 1172M 9640M
16-09 17:50:38|2039M 3155M 1172M 9640M
16-09 17:50:48|2040M 3155M 1172M 9640M
16-09 17:50:58|2039M 3155M 1172M 9640M
16-09 17:51:08|2039M 3155M 1172M 9640M
16-09 17:51:18|2039M 3155M 1172M 9640M
16-09 17:51:28|2039M 3155M 1172M 9640M
16-09 17:51:38|2039M 3155M 1172M 9640M
16-09 17:51:48|2039M 3155M 1172M 9640M
16-09 17:51:58|2039M 3156M 1172M 9640M
16-09 17:52:08|2039M 3156M 1172M 9640M
16-09 17:52:18|2040M 3156M 1172M 9640M
16-09 17:52:28|2040M 3156M 1172M 9640M
16-09 17:52:38|2040M 3156M 1172M 9640M
16-09 17:52:48|2040M 3156M 1172M 9640M
16-09 17:52:58|2039M 3156M 1172M 9640M
16-09 17:53:08|2040M 3156M 1172M 9640M
16-09 17:53:18|2040M 3156M 1172M 9640M
16-09 17:53:28|2040M 3156M 1172M 9640M
16-09 17:53:38|2040M 3156M 1172M 9639M
16-09 17:53:48|2040M 3156M 1172M 9640M
16-09 17:53:58|2040M 3156M 1172M 9639M
16-09 17:54:08|2040M 3156M 1172M 9640M
16-09 17:54:18|2040M 3156M 1172M 9639M
16-09 17:54:28|2040M 3156M 1172M 9640M
16-09 17:54:38|2040M 3156M 1172M 9639M
16-09 17:54:48|2040M 3156M 1172M 9639M
16-09 17:54:58|2040M 3156M 1172M 9639M
16-09 17:55:08|2041M 3156M 1172M 9639M
16-09 17:55:18|2040M 3156M 1172M 9639M
16-09 17:55:28|2040M 3156M 1172M 9639M
16-09 17:55:38|2041M 3156M 1172M 9639M
16-09 17:55:48|2040M 3156M 1172M 9639M
16-09 17:55:58|2040M 3156M 1172M 9639M
16-09 17:56:08|2040M 3156M 1172M 9639M
16-09 17:56:18|2040M 3156M 1172M 9639M
16-09 17:56:28|2040M 3156M 1172M 9639M
16-09 17:56:38|2040M 3156M 1172M 9639M
16-09 17:56:48|2041M 3156M 1172M 9639M
16-09 17:56:58|2040M 3156M 1172M 9639M
16-09 17:57:08|2040M 3156M 1172M 9639M
16-09 17:57:18|2040M 3156M 1172M 9639M
16-09 17:57:28|2041M 3156M 1172M 9639M
16-09 17:57:38|2041M 3156M 1172M 9639M
16-09 17:57:48|2041M 3156M 1172M 9639M
16-09 17:57:58|2041M 3156M 1172M 9638M
16-09 17:58:08|2041M 3156M 1172M 9638M
16-09 17:58:18|1994M 3156M 1172M 9685M
16-09 17:58:28|1994M 3156M 1172M 9685M
16-09 17:58:38|1994M 3156M 1172M 9685M
16-09 17:58:48|1994M 3156M 1172M 9685M
16-09 17:58:58|1994M 3156M 1172M 9685M
16-09 17:59:08|1994M 3156M 1172M 9685M
16-09 17:59:18|2007M 3156M 1172M 9672M
16-09 17:59:28|2031M 3156M 1172M 9648M
16-09 17:59:38|2031M 3156M 1172M 9648M
16-09 17:59:48|2032M 3156M 1172M 9647M
16-09 17:59:58|2032M 3156M 1172M 9647M
16-09 18:00:08|2032M 3156M 1172M 9647M
16-09 18:00:18|2032M 3156M 1172M 9647M
16-09 18:00:28|2032M 3156M 1172M 9647M
16-09 18:00:38|2032M 3156M 1172M 9647M
16-09 18:00:48|2032M 3156M 1172M 9647M
16-09 18:00:58|2032M 3156M 1172M 9647M
16-09 18:01:08|2032M 3156M 1172M 9647M
16-09 18:01:18|2032M 3156M 1172M 9647M
16-09 18:01:28|2032M 3156M 1172M 9647M
16-09 18:01:38|2032M 3156M 1172M 9647M
16-09 18:01:48|2032M 3156M 1172M 9647M
16-09 18:01:58|2032M 3156M 1172M 9647M
16-09 18:02:08|2032M 3156M 1172M 9647M
16-09 18:02:18|2032M 3156M 1172M 9647M
16-09 18:02:28|2031M 3156M 1172M 9647M
16-09 18:02:38|2032M 3156M 1172M 9647M
16-09 18:02:48|2032M 3156M 1172M 9647M
16-09 18:02:58|2032M 3156M 1172M 9647M
16-09 18:03:08|2032M 3156M 1172M 9647M
16-09 18:03:18|2032M 3156M 1172M 9647M
16-09 18:03:28|2032M 3156M 1172M 9647M
16-09 18:03:38|2032M 3156M 1172M 9647M
16-09 18:03:48|2032M 3156M 1172M 9647M
